,Content,Lang,Leng,Portal,Channel
868," 23 grudnia przed samą Wigilią pan minister Zbigniew Ziobro spotkał się z panem premiery Mateuszem Morawieckim i w czasie pięcioogodzinnej, eksperckiej, bardzo merytorycznej dyskusji większość naszych danych i obaw została niestety potwierdzona. Przede wszystkim, szanowni państwo, jedna podstawowa rzecz. W przestrzeni medialnej informowanie milionom Polaków, że 23,9 mld euro tzw. dotacji bezwrotnych w ramach KPO, to jest bezpłatna dorowizna Unii Europejskiej, jest hiperkłamstwem XXI wieku. Szanowni państwo, zgodnie z decyzją Rady Europejskiej z 14 grudnia 2020 roku, została podwyższona w Polsce składka członkowska na rzecz spłaty części dotacyjnej KPO oraz został wprowadzony Plastic Tax.",pl,696,tiktok,goniec
869," Nie podoba wam się minister Czarnek? Nie podoba wam się minister Ziobro? Bo odkrył aferę, być może największą aferę w warszawskim ratuszu, w złodzieje? Zapytajcie się co dzieje się w Warszawie. Afera ze śmieciami. My jesteśmy dumni z naszych ministrów. Szanowni panowie, pokażmy teraz, wstańmy jak jesteśmy dumni z naszych ministrów. A wy? Brawo minister Czarnek! Wstajemy! Brawo! Nigdy nie dojdziecie do władzy! Krzyczcie sobie! Brawo! Rozliczymy was! Rozliczymy Trzaskowskiego! I co się nie teraz śmieje? Śmiej się! Brawo minister Czarnek! Śmiejcie się! Dziękujemy bardzo. Pobracamy do rozpatrzenia punktu 14. porządku dziennego.",pl,632,tiktok,goniec
870," odrzuciliście poprawkę na 18 mln zł na rozbudowę zespołu szkolno-przedszkolnego nr 4 w Radomiu. Szkoła, która od wielu lat domaga się tego, by otrzymać skalę sportową, segment żywieniowy. Wy dzisiaj tak naprawdę bez żadnego trybu odrzuciliście wszystkie te poprawki. Zwracam się tutaj do państwa parlamentarzystów Prawa i Sprawiedliwości, do pana posła Kosztowniaka, pana posła Fogla, pani poseł Kwiecień, i ludzie, którzy uważają, że są z Radomia, że z Radomia się wywodzą. Tak naprawdę nie stać was było na to, byście stanęli w prawdzie i byście zagłosowali za tą dobrą poprawką. Odrzuciliście również poprawki na szpitalny oddział ratunkowy, na śmigłowiec dla radomskiego szpitala, dla lotniczego pogotowia ratunkowego wraz z bazą. I co powiedział poseł Andrzej Kosztowniak, były radomianin? Powiedział, że miasto nie ma do tego odpowiednich predyspozycji.",pl,860,tiktok,goniec
871," Słuchałem i dzisiaj radia też tam są znowu targi, tym za dużo, tym za mało. Według mnie jest system nieustalony i nie taki, żeby wszystkich mógł zadowolić. Bo zwłaszcza tych ludzi jak wczoraj była audycja komorna i podnieśli gdzieś tam, poza Warszawą, poza Warszawą. Pan od razu o 500%, to ja w ogóle nie wiem jak ci ludzie żyją. Przyłaży pan, że emerytura rzędu 3 tysięcy złotych miesięcznie jest w stanie utrzymać emerytę na dobrym poziomie, żebym chce pozwolić na jakieś... To znaczy przy założeniu, że będzie miał komorne rzędu tych tam 300-400 złotych, bo z tego musi jeszcze komorne zapłacić. Ale jak komorne podskoczyło w niektórych tam budynkach, słyszę, do powyżej tysiąca złotych, no to jak.",pl,702,tiktok,goniec
872," Wtedy podjęliśmy pewne zobowiązania dotyczące likwidacji TVP Info, dotyczące likwidacji abonamentu. Pamiętacie państwo również zbiórkę podpisów pod Obywatelskim Projektem Zniesienia TVP Info i Abonamentu. Dzisiaj te podpisy zostały złożone w Sejmie u pani marszałek i Platforma Obywatelska oczywiście wspiera ten projekt. Drodzy państwo, media państwowe pod rządami PiS-u dawno przestały być państwowe, dawno przestały niestety dbać o interes rzetelnej informacji. No i oczywiście nie sposób nazwać tych mediów dzisiaj mediami publicznymi. Tych przykładów skandalicznego działania TVP jest mnóstwo, no można by je mnożyć.",pl,622,tiktok,goniec
873," Wiceminister klimatu radzi, aby nie używać energii. Ma być to remedium na problemy z energetyką. Wiceminister uważa, że zmniejszenie zużycia energii w godzinach szczytu ma wpłynąć na bezpieczeństwo energetyczne naszego kraju. Czy popieracie Państwo tą postawę? Czy uważacie, że warto zrezygnować z prania czy innych przyjemności na rzecz dbania właśnie o ten interes? Czy powinien zająć się tym konkretnie rząd? Dajcie znać w komentarzu i obserwujcie Gońca.",pl,458,tiktok,goniec
874," Niech was nie zmyli ta scenografia, nie będę mówił o prezentach, jakie dałem moim wdukom pod choinkę. Będę mówił w jakim sensie o prezencie, wielkim prezencie, a tak naprawdę o największej aferze XXI wieku w Polsce. O prezencie, jaki rząd PiSu podarował Arabi Saudyjskim. Mówię o rafinerii Gdańskiej. Wszyscy pewnie myślicie, tak jak większość ludzi, że Arabowie robią najlepsze interesy na swoich Polakach. Nie, zrobili najlepszy interes na Polsce przez tych durnów z PiSu. Oni sprzedali udziały w rafinerii Gdańskiej za niewiele ponad miliard złotych i tyle mają zapłacić Arabowie, którym się to zwróci w niecały rok. Oni za dziewięć, dziesięć miesięcy będą mogli powiedzieć, ta rafineria de facto jest za darmo, bo kupiliśmy ją z zysku, który mamy z tej rafinerii.",pl,768,tiktok,goniec
875," Mistowi Czarnkowi wydaje się, że szkoła jest po pierwsze dla niego, po drugie dla PIS-u, po trzecie dla działaczy i aktywu PIS-u, po czwarte dla jego sympatyków. I dlatego wprowadza nowe narzędzia, które mu dają dodatkowe kompetencje. Proponuje takie podręczniki jak historia i teraźniejszość podręczni do tzw. hitu, gdzie młodzież się mogła dowiedzieć, że dzieci z in vitro są tymi mniej kochanymi i wprowadza dodatkowe narzędzia dla aktywu terenowego PIS-u, który uopśiat kuratoria. A dla kogo powinna być szkoła? Dla tych, którzy się tam kształcą, którzy się tam uczą. Dla uczniów i dla rodziców w takim sensie, żeby mieli poczucie, że oddają dzieci nie w ręce zaślepionych ideologów, ale w ręce zaangażowanych pedagogów.",pl,725,tiktok,goniec
876," namawiałem Radę Europejską na każdym posiedzeniu. Są z tego bardzo dokładne... No nie udawam się to. Nie udawam się to przede wszystkim dlatego, tam skąd cały świat bierze przede wszystkim Europę naftową. I to się udało. Zmniejszyliśmy to do 10%. Zrealizowaliśmy redukcję praktycznie do 0%. Pani redaktor, pytanie czy nie ma takiego poczucia? I Donald Tusk sam osobiście decydował o wszystkim... Ja pytam o ostatni rok wojny, a nie o czasem obozu Platformy Obywatelskiej. ...z ciągania ropy z Rosji, spotkania z Putinem. Ale ja pytam o 12 miesięcy wojny pierwszej. ...żeby redukować dostawy rosyjskiej ropy.",pl,608,tiktok,goniec
877," Ja uważam, że tyle ile ten rząd robi dla nas, to jak przeżyłam 80 parę lat, to takiego rządu nie było. Także rząd też musi mieć na swoje wydatki, więc musimy płacić. Także jestem bardzo zadowolona. To co naprawdę ten rząd robi dla wszystkich, nie wyklucza nikogo dla wszystkich jednakowo. Pomaga, daje, także...",pl,312,tiktok,goniec
878," Jeszcze później, chyba Andruszkiewicz czy ktoś mu niech hołownia przeprosi. Za co mam przepraszać? Za co mam przepraszać? Mam przepraszać za to, że ta telewizja kłamie w Biały Dzień, że manipuluje w Biały Dzień, za to, że doprowadziliście media publiczne właśnie do standardu domu publicznego. Za to mam przepraszać? Wolne żarty. Jacek ma nasze pełne poparcie w tej swojej walce z propagandowym reżimem i nic się w tej sprawie nie zmieni. My się będziemy śmiać w twarz, niezależnie od tego, jak bardzo będą próbowali pluć na nas i zamieniać całą tę instytucję, jeszcze bardziej w rozcząsa czobornika, niż ma to miejsce w tej chwili, a później, no słuchajcie, to jak ze spółkami, jak ze wszystkim, trzeba będzie zrobić małą rewolucję i jednak parę rzeczy posmieniać, żeby więcej nikomu nie przyszło do głowy mediów publicznych, naszego wspólnego dobra zamieniać w coś takiego.",pl,876,tiktok,goniec
879," Rzeczywistość wygląda tak, że dzisiaj mamy nowy, niestety koszmarnie rekordowy odjet inflacji. 18,4% jest to najwyższa inflacja od ponad 25 lat.",pl,145,tiktok,goniec
880," To jest jedna z głównych przyczyn, dlaczego komendant główny policji ciągle sprawuje ten urząd i nie został po wysadzaniu komendy głównej policji odwołany. Bo wszyscy wiemy, że w normalnych zasadach komendant główny policji po użyciu granatnika we własnym gabinecie powinien zostać odwołany. Ale być może ma haki na prokuratora generalnego, na premiera i wiele innych osób. I dlatego nie został ciągle odwołany, a jego brat nie jest wsadzony do aresztu, choć wszystko wskazuje na to, że powinien w tym areszcie się znaleźć. Czyje interesy chroni tak naprawdę Jarosław Szymczyk, czyje interesy chroni jego brat i czyje interesy chroni Izbigniew Ziobro. To wszystko wygląda na jedną wielką ośmiornicę polityczno-watowską, która łupi Polaków. To jest rzecz kompromitująca, że premier toleruje takie zachowania, że minister spraw wewnętrznych, minister sprawiedliwości są w to zamieszani.",pl,885,tiktok,goniec
881," Co by pan życzył kobietom tego dnia? Cierpliwości, uśmiechu i żeby pogoda była lepsza, żeby się ćwiczyło, żeby się uśmiechało. Bukiet dla żony? Dla narzeczonej. Dla narzeczonej, wszystkiego dobrego. Przede wszystkim uśmiechu, bo się rzadko uśmiechają, więc przede wszystkim uśmiechu, a jak będzie uśmiech to na pewno wszystko się ułoży. Żeby były szczęśliwe ze swoimi panami. Realizacji swoich zaległych marzeń, które są w sferze marzeń, żeby się zrealizowały od więcej odwagi w realizowaniu swoich marzeń. Niech się nie zmieniają. Żeby były piękne każdego dnia noc, zdrowka i spokoju. Kwiatki też tutaj dla żony? Dużo pieniędzy. A kwiatki też tutaj dla jakiejś pani? To nie, to akurat dekoracja na razie. Jutro będę kupował nasze kwiatki. Czyli pieniędzy po prostu. Tak, dokładnie. Przede wszystkim zdrowia, uśmiechu i mężczyzny u boku, żeby nie był w pracy, tylko spędził z nią dzień. Zdrowia przede wszystkim. Zdrowia. A kwiatki dla żony? Dla kobiety tak. Zdrowia. Wszystkiego najlepszego. Żeby były piękne, jakie są teraz. Wytrwałości z nami może tak najbardziej, nie? Dużo zdrowia przede wszystkim. Cierpliwości. Wszystkiego najlepszego, żeby jak najdłużej. Kwiatki też dla jakiejś pani? Dla żony i dla córki. Kwiatki dla żony. Żeby były miły. No i lubili swoich mężów. Swych dzieci, swojej rodziny. Żeby kochałymy się. Więc jest spokoju. I żeby dla nas były dobre. Jak zwykle. Wszystkiego najlepszego. Wniu kobiet. Wszystkiego najlepszego i zdrowia. Wszystkiego szczęśliwego życia. Kwiatki dla żony? Tak, oczywiście. Wszystkiego najlepszego bym życzył. Radości, szczęścia. Zdrowia. Wszystkiego najlepszego. Jako byc codziennie. Wszystkiego najlepszego i cierpliwości do nas, do panów. Wszystkiego najlepszego. Zdrowia. Po pierwsze zdrowie. Po drugie zdrowie i po trzecie zdrowie. Bo niestety brakuje kasy na to zdrowie. I piękności. Przede wszystkim wszystkiego najlepszego. Wszystkiego najlepszego, dużo miłości, szczęścia i wytrwałości w związkach. Wszystkiego dobrego na pewno. No i najlepszego szczęścia. Kto wie, czego tylko chcą najlepiej. Wszystkiego najlepszego. Czy kwiatki też dla jakiejś pani? Też, oczywiście. Żebyśmy byli dla nich bardziej tolerancyjni, wyrozumiali. A bardziej się w nie wsłuchiwali i dowali im wsparcie. Czyli to bardziej takie życzenia dla panów, a dla pań? Nie. Żeby były suklane. Myślę, że jeśli to zrobimy, to będą bardziej sochane i szczęśliwe dzięki temu.",pl,2399,tiktok,goniec
882," dzisiaj temat na pół satyryczny, na pół straszny, czyli nagroda dla prezesa Narodowego Banku Polskiego za, cytuję, wybitne osiągnięcia w prowadzeniu Banku Centralnego i tutaj cytat dosłowny, żeby nikt mnie o autoryzację tego Bełkotu nie posądził, w okresie pandemii, wojny w Ukrainie oraz kryzysu energetycznego. Jak wszyscy mamy słodko i dobrze, no to Państwo na co dzień, to Państwo, Państwo.",pl,395,tiktok,goniec
883," zrobiła pani Pawłowicz, która oczywiście dla wszystkich państwa jest znana z tego, że jest bardzo elokwentną, spokojną, wyważoną, kulturalną osobą, która posługuje się kwiecistym językiem, ale wszystko jest w bardzo dobrym smaku. Nigdy nikogo nie uraziła, nigdy nikogo nie obraziła. Jest po prostu ostoją łagodności. Gdybyśmy mieli znaleźć taką kolejną osobę, to pewnie byśmy w Polsce, a może nawet w Europie, nie znaleźli.",pl,424,tiktok,goniec
884," To była taka dyskusja w internecie na Twitterze. Może to można było traktować w kategoriach żartu. Ale panowie, czy to jest na poważnie? Czy ta konferencja, ten spot, który panowie zaprezentowali, czy to jest realnie poważny temat? Panowie wiedzą, że te informacje były dementowane, że nie ma takich planów, że nie ma żadnych zobowiązań, nie ma żadnych dokumentów. A w tym spocie to była jakaś dezinformacyjna kaskada. Nie wiem, dlaczego londnińczycy mieliby się cieszyć z tego, że w Warszawie są zamykane ulice na przykład. Absolutnie. To jest realna perspektywa, panie redaktorze. Spomnij pan moje słowa, dlatego że to jest taka ogólna tendencja, która ma miejsce w UE. To nie ma żadnego dowodu. To jest jedna grafika, na której państwo opierają całą denerwację. Ale jak nie ma dowodu, skoro ma pan założenia C-40, miast najważniejszych w UE, które w sposób radykalny chcą ograniczać spożywanie mięsa na białą jajek, mówić ludziom, czy mają jeździć takim czy innym samochodem, zwężać ulice, zostawiać bardzo wąskie przemieszczenie. Ale pan wie, że to jest czytym okulisem. Albo nie do końca.",pl,1094,tiktok,goniec
885," Przez ostatnie lata zajmowaliście się głównie Polską. Ale trzeba sobie zadać pytanie, czy to przypadkiem nie była zasłona dymna, żeby sobie robić te wszystkie interesy z Katarem? Nie udawajcie, że to dotyczy tylko kilku osób, dlatego że jedna z organizacji, no peace without justice notabene, której sekretarz jest aresztowany teraz za korupcję, jest finansowana przez kogo? Unia Europejska, Francja i Niemcy. Jakiś dziwnym przypadkiem ta organizacja zajmowała się atakowaniem Polski. Być może po to, żebyś odwrócić uwagę i żebyście mogli robić sobie te swoje interesy. Występują tutaj socjaliści, których członkiem dalej jest Gerhard Schroeder, największy symbol korupcji politycznej skorumpowany przez Putina. Nic z tym nie robicie i tutaj będziecie wszystkich pouczali? Najpierw spojrzeć w lustro i wy zrobić z tym porządek. Czekam na teraz, bardzo dobrze by było, jakbyście Państwo odpowiedzieli, co z finansowaniem Niemiec przez tą organizację.",pl,950,tiktok,goniec
886," Przysięgam, że nigdy was nie zdradzę. Przysięgam, że nikt nigdy nie jest w stanie mnie kupić. Nie ma takiej opinii.",pl,116,tiktok,goniec
887," żeby wyłączyli telewizor, żeby przestali nam gadać głupoty przez telewizor. Telewizor jest okropna. Takie życzenia. Panowie, wyłączcie tę telewizownię. Dla wszystkich polityków czy tylko dla jakiejś partii? Dla wszystkich panów.",pl,229,tiktok,goniec
888," Czy są w ogóle smaczne? To jest rewelacja. A Pani piecze pączki? Dam nie piekłam, ale nie wychodziły takie jak te na 10 punktów. Oceniam, tak. A ile by kosztowały takie pączki, jak Panie sądzą? Ja nie wiem, w tej chwili są drogie. Może po 4 zł za sztukę, nie widziałam. U Pani Magdy Gessle? A, u Gessle, no ona ma drogie, ale bardzo dobre wszystkie wypływy robią. No to trochę więcej niż w sumie. 8 złotych? Więcej. To nam się trafiło. To super. 18 zł. Za jedną sztukę? Tak. Rewelacyjne są, ale jestem emerytką, to by mi nie było stać na takie pączki. To dziękujemy bardzo. Proszę bardzo, smacznego. Dziękujemy, do widzenia.",pl,625,tiktok,goniec
889," Cześć, Oliwko. Cześć, co robisz? Jestem z koleżankami na Polskach. A no to fajnie, trzeba świętować tu z tyczwartek przecież. No a co tam u Ciebie? A chciałam Ci powiedzieć tylko, że Cię kocham bardzo. Jezu, jak miło kochana, ja Was też kocham. No, dziękujemy. O Jezu, a Wy macie ferie teraz? Tak, mamy ferie. Może wpadniecie do nas trochę? No może wpadniemy, w przyszłym tygodniu Panie. No właśnie. O Jezu, Oliwko, jak mi jest miło, kocham Cię bardzo. I Majkę, i Was wszystkich, i Tatej, i Mame. Dobrze, ja Cię też. Przekażę im. Dobra, dziękuję Ci. Nie ma problemu, no papa.",pl,576,tiktok,goniec
890," Panie premierze, ostatni raz spotkaliśmy się 20 parę lat temu, kiedy kandydował pan na przewodniczącego Unii Wolności w Filharmonii w Katowicach. Wtedy pan przegrał między innymi naszymi głosami i to w momencie po tej przegranej powiedziałem nieznanemu koło mnie siedzącemu koledze, kolego, to jest koniec Unii Wolności, a ten, który dzisiaj przegrał, będzie miał partię i będzie wielkim politykiem. Nie sądziłem, że aż tak wielkim. Dzisiaj... Nie wiem, czy my sobie zdajemy sprawę, że na dzień dzisiejszy pan jest jednym z największych polityków na świecie.",pl,559,tiktok,goniec
891," Chyba bez przesady. To znaczy uważam, że jest to praca. Ale wie pan, matka, która chce mieć dzieci robi to z przyjemnością. Ja wychowałam dziecko do głowy, mi nie przyszło, żeby ktoś mi płacił, nie mówiąc, że urlopy macierzyńskie były krótsze. Także uważam, że niekoniecznie. Niekoniecznie, chociaż nic złego by nie było, gdyby taka była jakaś tam pensja, prawda? Nie wiem jak wyliczona, ale to jest moje dziecko, prawda? Ja płacę za to, że dziecko oddaję gdzieś komuś, kto wychowuje, ale moje? No to wydaje mi się, że nie.",pl,524,tiktok,goniec
892," Ja pamiętam jak uczestnicy marszu, którego Pan zdaje się sympatykiem, jak rozumiem z Pańskiej wypowiedzi, jak podpalili mieszkanie tylko dlatego, że tam wisiała tęczowa flaga. Ja pamiętam twarzy tych ludzi. I chcę Panu powiedzieć, że niezależnie od poglądów politycznych, ja uważam, że część uczestników, tych najbardziej agresywnych, tych, którzy nie wstydzą się jawnie faszystowskich poglądów, nie zasługuje na to, żeby uczestniczyć w czymś, co ma w szyldzie słowo niepodległość. Te inicjatywy, ci ludzie nie mają nic wspólnego z niepodległością, z patriotyzmem, z polskim interesem narodowym.",pl,596,tiktok,goniec
893," została naprawiona sytuacja w financjach publicznych, bo to takie jest proszę Państwa, że jak my rządzimy, to pieniądze są. Jak tamci, to nie ma, znikają.",pl,155,tiktok,goniec
894," Szanowni państwo, aby było tylko po naszej stronie o jeden z więcej. Dziękujemy serdecznie, dziękujemy panu prezesowi. Gościem specjalnym dzisiejszego spotkania był prezes Jarosław Karzyński, prezes Prawa i Sprawiedliwości. Panie prezesie, dziękujemy za odwiedzenie naszego regionu.",pl,283,tiktok,goniec
895," Oczywiście, że dobre serce przy dobrym sercu nie patrzy Pani, żeby zbijać wielki majątek. Oczywiście uwzględnia Pani fakt, że ludzie są w różnej sytuacji i czasem trzeba komuś pomóc. To też jest jakaś istotna sprawa. Poza tym dobre serce to także dostrzeganie drugiego człowieka również i związane z sympatiami, miłościami i tworzeniem niekoniecznie małżeńskich, ale paru serce na pewno jest przed pieniędzmi.",pl,410,tiktok,goniec
896," że według pana telewizja publiczna dzisiaj to jest tylko brak profesjonalizmu. Nie. To jest zaprogramowana, bardzo profesjonalna nienawiść. Znaczy w mojej ocenie jestem w stanie udowodnić tę tezę. To jest najbardziej profesjonalna telewizja publiczna w historii. Nigdy telewizja publiczna nie była tak profesjonalna jak jest dzisiaj. Tylko profesja jaką się zajmuje jest niszczeniem na zlecenie władzy przeciwników politycznych tej władzy. I robią to perfekcyjnie. Są naprawdę tak profesjonalni, że tylko pozazdroszczyć. Ja uważam, że kłopot...",pl,545,tiktok,goniec
897," wspólne z panem Matuszem Morawieckim. Jarosław Kaczyński przypominam to ten specjalista od kwestii demografii i mówienia, dlaczego kobiety nie chcą w Polsce rodzić dzieci. No a pan Morawiecki to ten specjalista przede wszystkim od działek. Przede wszystkim od działek w jaki sposób można zakupić działkę od kuris za 700 tysięcy, przepisać na żonę i sprzedać za kilkanaście milionów złotych albo zakupić obligacje antyinflacyjne. Wszystkim innym opowiadając, że przecież inflacji w Polsce nie będzie i zgarniając grubą kasę. Co wymyślili? Nie wymyślili tego, że trzeba rzeczywiście walczyć z tymi dramatycznymi marżami. Filmy energetyczne tylko powołają komisję, komisję, która zbada dlaczego ceny energii były tak wysokie zarządów Platformy Obywatelskiej PZL-u. To ja przypominam panu Kaczyńskiemu, bo może już nie pamiętać i wszystkim państwu. Po ile był węgiel? Po ile była tona węga? Po 500? Po 600 złotych? Po ile był gaz?",pl,927,tiktok,goniec
898," Jednocześnie musimy pamiętać, że Jan Paweł II jest dzisiaj w naszym kraju, w jego ojczyźnie, bardzo ostro i konsekwentnie atakowany. Atakowany brutalnie, atakowany skrajnie niesprawiedliwie, atakowany dla różnych grzechów, które jednak nie były jego grzechami. Jest niszczony, tak to można powiedzieć. Jest niszczony jako wielki autorytet. Jest niszczony w wielkiej mierze dlatego, że jego postać nie tylko wpisała się do polskiej historii, jak może żadna inna, ale także dlatego, że stała się częścią tej historii, częścią polskiej tażsamości. I o to właśnie chodzi.",pl,568,tiktok,goniec
899," Idę nagrywane? Tak. Słucham Cię w telewizji. Ja odłam na te programy, proszę Pani, Pani Marku Wiesner. Tak. Robi porządki w restauracji. Ja bardzo słyszę, proszę Pani. Hmm. Nic nie wiem.",pl,187,tiktok,goniec
900," Przejmują Panie księdza pokolędzie? Przejdziemy. A dlaczego? Jak to dlaczego? No przecież jeżeli chodzi, to jest wizyta duszpasterska, no to co ja zamknę drzwi? No niektórzy nie przejmują. No to zależy jak kto uważa. A co z takiej wizyty można wynieść? Można sobie porozmawiać. Teraz u mnie był bardzo sympatyczny młody ksiądz. Tak sobie porozmawialiśmy naprawdę o wszystkim. Oczywiście. A dlaczego? Bo jestem kapoliciem. Bo jestem wierząca. A co dzięki takim przejmowaniu można zyskać? Wiem co się dzieje w parafii. Co mnie Boli mogę przekazać. Tak. A dlaczego? Z tradycji. Przejmuję. A dlaczego? Bo jestem wierzący. A tylko, że jestem sobą wierzącą. Ja oczywiście już u mnie był. Dlaczego Pani przyjmuje, bo niektórzy nie przyjmują? To jest ich sprawa. Ja jestem człowiekiem wierzący. Mi sobie nie wyobrażam, żeby ksiądz pokolędzie nie przyszedł. Bardzo ważne.",pl,863,tiktok,goniec
901," bo wiadomo, że Pan jest pierwszy raz w żywcu. W życiu? W żywcu, w żywcu. Ale w żywcu, w życiu pierwszy raz? Tak. Nie no. No zaraz, zaraz, momencik. Ktoś kiedyś zadał Panu pytanie, czy Pan wie gdzie leży żywiec. Czy pamięta Pan co Pan odpowiedział? Nie. U mnie w lodówce. A ja to Panu zadałem pytanie. No, no z tym żywcem to... Ja mam takie poczucie humoru, no chciałem być dowcipny, ja wyszła z tego kompromisacja, no. Ja do Pana wrócę, mogliśmy mieć proporcję. To jest dobra nauczka dla mnie, żeby... żeby nie wysilać się na... na ta, na komika i na dowcipy.",pl,560,tiktok,goniec
902," będą albo mieliby co opowiadać, z czego wynikają gigantyczne marże. Dlaczego pan Sasin to ten specjalista, który potrafi na przykład zacząć budować wielką elektrownię w Ostrołę, a później ją zburzyć za półtora miliarda, a wszystkie rachuneczki przecież płacimy. My na przykład mieszkańcy Wielkopolski, bo ENA była między innymi inwestorem tej inwestycji, która już została zlikwidowana. Dlaczego pan Sasin przeszedł na cenę spotową z zakupu gazu, w związku z tym ceny wystrzeliły o kilkaset procent? I dlaczego na przykład polski gaz, bo ponad 40% wydobujemy własnego gazu, jest tak gigantycznie drogi, a dlaczego firmy energetyczne przez ostatnie miesiące mają rekordowe zyski? O tym PiS nie chcę rozmawiać, bo dzięki temu po prostu napełniają swoje kieszenie. Polacy płacą i płaczą.",pl,785,tiktok,goniec
903," I jedno, dosłownie jedno zdanie do Kaczyńskiego. Kobiety w Polsce nie decydują się na macierzyństwo, nie dlatego, że dają w szyję, jak to ostatnio powiedział, a dlatego, że je po prostu zastraszyliście. Kaczyński, twoje miejsce jest na śmietniku historii. Dziękuję bardzo.",pl,273,tiktok,goniec
904," No powinien oczywiście. Wszyscy są opodatkowani. Wszyscy obywatele są opodatkowani, a oni mają, oni nawet się nie rozliczają z tych datków i z tych ofiar. Tak, tak, tak. Takie zbierane i będą się opodatkować. A to ja tego nie rozumiem. No nie, tak nie powinno być, absolutnie. Nie wiem, czy to pani jest za opodatkowanie? Pani sprzeciwa. Ja sprzeciwam. A ja za opodatkowaniem. A ja przeciw. No pewnie sprzeciwiam. Ach, takie kościółkowe. Nie wiem z czego kościół ma płacić podatki. Z pani tacy? Co pani da dwa dni od lat lat? Nie daje już teraz. Kiedyś dawałam, a teraz nie. A dlaczego pani już teraz nie daje kościół? On się zrobił teraz polityczny po prostu dla mnie. Teraz on wie kogo popierać, a kogo nie popierać. A ja niestety jestem komuś, bezpartyjny. Nigdy nie byłam w partii. Rozumiem. No i pani amerytury teraz? Z kusem 900. A za Tuska poprzednio ile pani miała? 30 groszy, jak mają go do płatni. Ale Tuska to ja też nie lubię.",pl,939,tiktok,goniec
905," krytykujemy Orłem za to, że przez kilka miesięcy wyciągał pieniądze z kieszeni Polaków, choć te pieniądze mogły w tych kieszeniach Polaków zostać. Uważamy, że to było nie fair. I co więcej, jesteśmy w tym bardzo konsekwentni, bo przypominam, że my o tej sprawie mówiliśmy już latem. Więc chcemy się dowiedzieć, jak to jest, że instytucje kontrolne tę sprawę prześlepiły, skoro dwójka posłów była w stanie te informacje odnaleźć podczas kontroli poselskiej. Wszyscy to wiemy, tak? Wchodzi się do sklepu i ta sama pensja miesiąc temu starczała więcej, w tym miesiącu starczała mniej. I w tym trudnym czasie ludzie musieli wyjąć z tej kieszeni jeszcze więcej pieniędzy, bo Orlen po prostu sztucznie podniósł w górę swoje marże hurtowe. Firma zwąchała interes i wykorzystała sytuację. No ale wykorzystała sytuację kosztem milionów ludzi. Uważamy, że to jest nie fair i uważamy, że państwo w takiej sytuacji nie stanęło na wysokości zadania, nie zapobiegając temu.",pl,960,tiktok,goniec
906," Ja kiedyś byłem w podobnej sytuacji, jako młody człowiek zarabiałem po dwóch kierunkach studiów mniej niż sprzątaczka. A inflacja była tak wysoka, że jak tylko dostałem pensję dzwoniłem do żony, że chcieliśmy zjeść obiad. Żeby to wydać, bo jutro będzie kosztował tylko pół obiady z tego. Przy inflacji oszczędzanie nie ma sensu. Dlatego, że dzisiaj pani pracuje za to, co pani dostaje na końcu miesiąca, a na drugim miesiącu to będzie warte 30% mniej. To nie jest najlepszy sposób. Dzisiaj wydaje mi się, że najważniejszą rzeczą dla młodego człowieka jest zdobycie zawodu, konkretnego zawodu. Niestety tak się składa, że u nas w tej chwili jest bardzo dużo historyków, politologów, archeologów, socjologów, którzy nie mają żadnego zawodu i nic nie umieją robić. A świat i Polska potrzebujemy dobrych profesjonalistów.",pl,818,tiktok,goniec
907," Czy dziennikarstwem jest pisanie w fakcie o tym, że krowa urodziła mysz, a ojcem krzesnym będzie homi? Czy dziennikarstwem jest to, że Yeti wraca zawsze zimą, a jakiś potwór z Loch Ness pojawia się w Wiśle? To też jest dziennikarstwo. Czy dziennikarstwem jest pisanie o tym, że ktoś ma cellulit? Czy dziennikarstwem jest o tym, że ktoś ma brudne auto? Albo ktoś porysował komuś samochód? Żyjemy w natłoku niepotrzebnych informacji, zbędnych informacji. Żyjemy w natłoku informacji, które mają być ciekawe, ale w ogóle nie są ważne. Teraz jest pytanie, jakimi dziennikarzami wy chcecie być? Czy chcecie być dziennikarzami faktów czy faktów?",pl,640,tiktok,goniec
908," Ja szczerze mówiąc myślałem, że w tym jest jakaś pomyłka. Ale jeżeli Wy proponujecie, żeby autobus ludzi dowoził do Komisji Wyborczych raz na 4 lata, to to jest nie tylko kpina z ludzi, ale to jest jakaś gigantyczna pogarda wobec ludzi, którzy mieszkają w małych miejscowościach. Przecież ludzie w małych miejscowościach na Boga zasługują na to, żeby mieć autobus codziennie. A nie tylko bilety kolejowe po 200 zł między Warszawą a Krakowem. Ja bym chciał, żeby polskie państwo dbało o obywateli, niezależnie od tego, z jakiej miejscowości są. Każdego dnia, w każdym dniu w roku, a nie raz na 4 lata wtedy, kiedy przychodzą wybory. Bo Wy ludzie traktujecie jak barany i tylko na tym myślicie. Dziękuję bardzo.",pl,710,tiktok,goniec
